address,distance,rating,capacity,area,price
dalat,1500,93,2,250,3000000
dalat,1400,94,2,140,1296000
dalat,3000,55,2,56,2000000
dalat,10900,80,2,20,1610000
dalat,700,100,2,25,959000
dalat,1800,100,2,120,1800000
dalat,300,100,2,100,4000000
dalat,1300,95,2,87,2700000
dalat,1100,100,2,220,1338750
dalat,1600,92,2,350,2500000
dalat,1500,45,2,300,1494000
dalat,600,90,2,150,1425000
dalat,1400,60,2,280,1960000
dalat,1100,80,2,160,1575000
dalat,1500,90,2,225,4500000
dalat,250,95,2,70,1800000
dalat,1800,97,2,100,1154250
dalat,1700,89,2,200,1008000
dalat,1100,87,2,100,1193400
dalat,1500,96,2,300,4275000
dalat,1600,100,2,60,1539000
dalat,1900,92,2,250,1100000
dalat,1600,90,2,100,1674340
dalat,1400,88,2,400,2400000
dalat,800,80,2,25,440000
dalat,250,82,2,30,600000
dalat,2200,100,2,100,1656000
dalat,2100,100,2,200,1350000
dalat,12200,10,2,300,4500000
dalat,1700,82,2,18,1300000
dalat,300,86,2,101,2700000
dalat,1700,100,2,120,1200000
dalat,800,94,2,160,1750000
dalat,2800,10,2,150,1000000
dalat,2300,88,2,350,3672000
dalat,1100,86,2,13,780000
dalat,900,84,2,14,270000
dalat,500,88,2,80,1980000
dalat,1400,94,2,150,2142000
dalat,1500,89,2,240,2850000
dalat,2100,90,2,130,1134000
dalat,2000,86,2,130,972000
dalat,900,83,2,20,700000
dalat,1300,100,2,300,1570800
dalat,2300,91,2,52,990000
dalat,2200,80,2,26,720000
dalat,2100,90,2,132,1260000
dalat,2200,100,2,25,1980000
dalat,2100,86,2,134,775000
dalat,2800,80,2,400,4499999
dalat,2800,91,2,30,450000
dalat,1600,85,2,30,933333
dalat,1600,80,2,33,1403000
dalat,350,85,2,30,804000
dalat,5300,82,2,35,1606500
dalat,900,98,2,120,3325000
dalat,1400,100,2,200,4879000
dalat,2200,80,2,250,1500000
dalat,2100,87,2,130,816000
dalat,2000,90,2,130,630000
dalat,700,98,2,90,1296000
dalat,1400,95,2,50,1215000
dalat,2100,78,2,130,769500
dalat,1300,92,2,25,360000
dalat,2000,95,2,35,500000
dalat,1700,99,2,70,2708640
dalat,2100,94,2,100,2641500
dalat,350,84,2,25,1053000
dalat,900,87,2,200,3328000
dalat,2800,88,2,30,720000
dalat,2200,87,2,100,1161945
dalat,2900,84,2,80,1168410
dalat,600,90,2,28,1674000
dalat,900,80,2,79,750000
dalat,1400,100,2,210,971514
dalat,1500,89,2,240,2850000
dalat,1100,86,2,13,780000
dalat,2200,87,2,100,1161945
dalat,7800,79,2,20,500000
dalat,2200,78,2,50,682500
dalat,900,80,2,79,750000
dalat,1400,100,2,210,971514
dalat,150,83,2,17,939000
dalat,2200,78,2,50,682500
danang,2500,92,1,800,8900000
danang,3200,80,1,300,3184776
danang,300,87,1,32,518760
danang,3400,77,1,75,1100000
danang,2300,91,1,40,450000
danang,1100,97,1,38,1120000
danang,1300,98,1,32,598000
danang,2900,93,1,28,900000
danang,2600,84,1,27,560000
danang,8000,88,1,626,20016456
danang,1300,93,1,150,2374050
danang,2900,89,1,32,350000
danang,1600,85,1,45,825000
danang,3300,86,1,70,1400000
danang,11700,80,1,434,6629111
danang,3400,95,1,70,1000000
danang,2100,93,1,38,639000
danang,1900,71,1,30,404950
danang,12300,86,1,333,7431944
danang,3000,93,1,101,2500000
danang,1700,98,1,210,1403415
danang,3400,82,1,60,1665000
danang,2900,95,1,28,407550
danang,600,79,1,35,1000000
danang,3400,100,1,67,1100000
danang,3400,68,1,70,1233100
danang,4100,66,1,35,668250
danang,4900,67,1,515,11128296
danang,12200,92,1,250,6434033
danang,12100,50,1,70,3000000
danang,3500,90,1,36,899999
danang,2000,93,1,21,870000
danang,4800,78,1,330,9689220
danang,3000,94,1,30,470000
danang,1100,83,1,54,18000000
danang,3300,90,1,450,2945000
danang,3900,94,1,45,1330000
danang,600,60,1,45,749700
danang,13100,86,1,38,2888889
danang,2700,100,1,25,510000
danang,3500,88,1,45,785175
danang,3300,95,1,70,1080000
danang,3400,88,1,68,1330000
danang,3400,90,1,67,1170000
danang,3500,85,1,45,1459000
danang,3400,82,1,65,726750
danang,6700,85,1,25,282150
danang,2500,94,1,25,299700
danang,1200,93,1,25,540270
danang,9800,89,1,370,8976000
danang,3400,89,1,65,901692
danang,4500,85,1,240,8494791
danang,2800,98,1,75,1537128
danang,3400,85,1,65,1500000
danang,2700,86,1,30,869400
danang,12400,70,1,41,7584882
danang,4900,87,1,400,11048360
danang,3400,80,1,60,688500
danang,3100,100,1,24,506000
danang,2400,92,1,40,1881475
danang,3400,96,1,65,1000000
danang,3400,85,1,68,1144000
danang,2700,89,1,39,630000
danang,3200,98,1,35,1000000
danang,3400,75,1,65,1080000
danang,8100,100,1,65,4009500
danang,1100,95,1,50,1350000
danang,2300,95,1,65,645697
danang,3000,87,1,60,2039993
danang,2700,100,1,35,631800
danang,3500,100,1,70,270000
danang,3000,97,1,35,400000
danang,3300,92,1,75,3420000
danang,5000,86,1,400,11337662
danang,3400,87,1,45,450000
danang,4200,88,1,45,638400
danang,2700,91,1,26,766679
danang,400,99,1,45,873000
danang,1100,90,1,25,480000
danang,3100,90,1,515,11830107
danang,3300,95,1,35,300000
danang,2100,91,1,20,467500
danang,2800,93,1,35,1177000
danang,3100,94,1,40,721111
danang,3500,90,1,30,850500
danang,2600,84,1,27,560000
danang,300,87,1,32,518760
danang,1100,90,1,25,526500
danang,3400,80,1,69,1365000
danang,12200,92,1,250,6434033
danang,11700,80,1,434,6629111
danang,3000,88,1,28,697297
danang,5600,94,1,106,11180773
danang,2500,94,1,25,299700
danang,400,92,1,30,1889550
danang,2800,83,1,44,1680000
danang,4900,89,1,40,660000
danang,4200,94,1,40,902700
danang,2800,88,1,40,380000
danang,3400,87,1,45,450000
danang,400,99,1,45,873000
danang,2700,100,1,35,631800
danang,3100,100,1,24,506000
danang,2600,95,1,40,1037221
danang,3400,80,1,69,1365000
danang,2700,95,1,35,1213800
danang,3400,92,1,30,994500
danang,12000,83,1,70,3138750
danang,3100,94,1,40,721111
danang,3500,90,1,30,850500
danang,2700,91,1,35,427500
danang,1400,96,1,35,570000
danang,4200,94,1,40,749772
danang,1400,96,1,35,570000
danang,3400,80,1,58,950000
danang,3400,88,1,55,441000
danang,10000,100,1,616,7125000
danang,3200,70,2,280,3100000
danang,9600,90,2,90,2500000
danang,2400,92,2,40,1881475
danang,3400,79,2,70,2550000
danang,10000,100,2,220,8500000
danang,3100,93,2,44,1032750
danang,11800,97,2,515,13940630
danang,3300,87,2,400,5850000
danang,12400,50,2,54,1600370
danang,12400,100,2,80,3135000
danang,11700,70,2,900,9000000
danang,300,87,2,32,518760
danang,3500,10,2,85,2000000
danang,1400,88,2,30,741000
danang,12400,82,2,85,1748000
danang,1000,85,2,270,5130000
danang,2000,75,2,50,1661750
danang,12400,90,2,90,2595558
danang,5900,100,2,360,10000000
danang,3000,97,2,35,400000
danang,4900,100,2,350,8500000
danang,10000,68,2,300,7000000
danang,9000,90,2,60,1600000
danang,12400,79,2,85,1496250
danang,2500,10,2,134,1152000
danang,3200,87,2,300,4000000
danang,2300,95,2,65,665667
danang,3400,87,2,50,799200
danang,3000,90,2,130,3800000
danang,3800,45,2,55,550800
danang,12300,100,2,312,5687500
danang,4900,100,2,450,6000000
danang,3400,73,2,70,855000
danang,1400,95,2,55,405000
danang,2800,91,2,140,2065500
danang,4000,76,2,580,9828000
danang,3600,82,2,150,605150
danang,3300,10,2,75,800000
danang,3400,60,2,60,1200000
danang,2800,100,2,700,16129032
danang,3300,91,2,50,769774
danang,7800,100,2,78,13752999
danang,3400,70,2,70,1200000
danang,12400,87,2,270,4370000
danang,3400,85,2,52,850000
danang,3600,97,2,40,800000
danang,2300,87,2,35,720000
danang,3000,92,2,35,540000
danang,3400,90,2,60,1300000
danang,3400,83,2,68,1199000
danang,5000,86,2,400,11337662
danang,3000,83,2,100,2565000
danang,3400,97,2,68,945000
danang,2500,100,2,700,16129032
danang,4500,100,2,20,3000000
danang,3400,100,2,280,1550000
danang,11600,60,2,400,5500000
danang,10000,75,2,600,6750000
danang,3300,95,2,35,300000
danang,3400,80,2,100,2050000
danang,2700,100,2,700,17921148
danang,4600,80,2,50,552500
danang,1700,80,2,750,2950000
danang,2700,90,2,50,576000
danang,3600,97,2,150,651700
danang,3400,100,2,50,765000
danang,2500,94,2,25,333000
danang,2600,91,2,30,559000
danang,12400,100,2,832,17500000
danang,2700,100,2,78,2422500
danang,1100,90,2,25,526500
danang,3900,84,2,32,586625
danang,3200,94,2,35,850500
danang,5000,92,2,200,2561895
danang,8400,93,2,45,1937500
danang,3400,75,2,65,1600000
danang,3400,85,2,40,562000
danang,2600,65,2,35,1125000
danang,2700,100,2,70,1757500
danang,4900,100,2,300,4657500
danang,3100,90,2,515,11830107
danang,10900,90,2,50,950000
danang,1300,98,2,32,598000
danang,3400,89,2,68,1140000
danang,3400,86,2,15,563063
danang,3400,77,2,70,1500000
danang,2500,92,2,800,8900000
danang,2300,91,2,40,450000
danang,2800,93,2,35,1177000
danang,2900,95,2,35,418000
danang,4400,93,2,35,650000
danang,2600,84,2,27,560000
danang,3400,77,2,75,1100000
danang,1900,71,2,30,405000
danang,3400,95,2,70,1000000
danang,12200,83,2,390,4968000
danang,11000,78,2,270,4264313
danang,1100,97,2,38,1120000
danang,1600,85,2,45,825000
danang,8000,88,2,626,20041744
danang,3500,90,2,36,899999
danang,2900,93,2,28,900000
danang,1100,83,2,54,18000000
danang,3400,68,2,70,1233100
danang,3200,80,2,300,3184776
danang,12300,86,2,333,7431944
danang,3400,100,2,67,1100000
danang,12100,50,2,70,3000000
danang,2100,93,2,38,639000
danang,1700,98,2,210,1511370
danang,3400,82,2,60,1665000
danang,400,99,2,45,900000
danang,6700,85,2,25,297000
danang,3300,92,2,75,3420000
danang,600,79,2,35,1000000
danang,4800,78,2,330,9689220
danang,500,96,2,48,1003500
danang,3400,82,2,65,769500
danang,3300,94,2,40,769500
danang,3300,95,2,70,1080000
danang,450,82,2,40,599000
danang,4100,66,2,35,668250
danang,3000,94,2,30,470000
danang,3100,100,2,24,506000
danang,1600,94,2,50,573750
danang,4400,77,2,55,450000
danang,3100,80,2,40,550000
danang,12300,90,2,56,4095000
danang,3300,90,2,450,2945000
danang,600,60,2,45,749700
danang,2700,100,2,25,510000
danang,3000,93,2,101,2500000
danang,12200,92,2,250,6434033
danang,3900,93,2,500,3968604
danang,13100,86,2,38,2888889
danang,2000,93,2,21,870000
danang,2700,93,2,20,1170000
danang,3600,87,2,36,501600
danang,3500,88,2,45,812250
danang,3200,83,2,32,396000
danang,3500,85,2,45,1459000
danang,3400,88,2,68,1330000
danang,3400,89,2,65,901692
danang,600,92,2,33,860000
danang,3400,90,2,67,1170000
danang,11700,80,2,434,6629111
danang,2700,100,2,35,631800
danang,1100,90,2,25,480000
danang,1200,93,2,25,540270
danang,4900,87,2,400,11048360
danang,4500,85,2,240,8494791
danang,3400,96,2,65,1000000
danang,3500,100,2,70,300000
danang,2900,91,2,50,1200000
danang,8100,100,2,65,4455000
danang,2100,91,2,20,467500
danang,2800,88,2,40,400000
danang,9800,89,2,370,8976000
danang,2800,98,2,75,1541628
danang,2700,86,2,30,869400
danang,3400,85,2,65,1500000
danang,3400,85,2,68,1144000
danang,2300,91,2,27,1377000
danang,3000,97,2,35,400000
danang,300,87,2,32,518760
danang,2400,92,2,40,514706
danang,3400,75,2,65,1080000
danang,1100,95,2,50,1350000
danang,3200,98,2,35,1000000
danang,2700,91,2,26,766679
danang,2500,94,2,25,333000
danang,3300,95,2,35,300000
danang,5000,86,2,400,11337662
danang,3300,91,2,50,769774
danang,2800,93,2,35,1177000
danang,2600,84,2,27,560000
danang,3100,90,2,515,11830107
danang,1100,90,2,25,526500
danang,3000,87,2,60,2039993
danang,600,90,2,25,944775
danang,3100,100,2,24,506000
danang,3100,94,2,40,721111
danang,3400,87,2,45,450000
danang,400,99,2,45,900000
danang,3300,92,2,75,3420000
danang,3500,90,2,30,850500
danang,11700,80,2,434,6629111
danang,2700,100,2,35,631800
danang,12200,92,2,250,6434033
danang,4900,89,2,40,660000
danang,2800,88,2,40,400000
danang,13000,84,2,54,6480000
danang,3400,87,2,45,450000
danang,3400,80,2,69,1365000
danang,5600,94,2,106,11180773
danang,3500,90,2,30,850500
danang,3100,94,2,40,721111
danang,4200,94,2,40,902700
danang,2600,95,2,40,1037221
danang,2700,95,2,35,1213800
danang,1400,96,2,35,570000
danang,3400,80,2,69,1365000
danang,4200,94,2,40,902700
danang,1400,96,2,35,570000
danang,3400,88,2,55,441000
danang,2700,91,2,35,427500
danang,12000,83,2,70,3138750
danang,3400,80,2,58,950000
danang,3400,88,2,55,441000
danang,3400,80,2,58,950000
danang,10000,100,2,450,12112500
haiphong,4000,82,1,30,623333
haiphong,3800,86,1,35,500000
haiphong,1200,91,1,60,754110
haiphong,1600,92,1,32,500000
haiphong,3600,80,1,77,3670321
haiphong,2500,100,1,60,960000
haiphong,1400,89,1,50,1445850
haiphong,1500,94,1,33,510300
haiphong,2200,93,1,25,1000000
haiphong,4000,100,1,30,990000
haiphong,1800,86,1,45,2079000
haiphong,2800,72,1,29,920000
haiphong,4100,91,1,28,470000
haiphong,600,96,1,20,617500
haiphong,2300,90,1,70,800000
haiphong,350,93,1,32,1100250
haiphong,2200,70,1,35,600000
haiphong,800,100,2,71,1350000
haiphong,3900,10,2,40,800000
haiphong,7100,88,2,45,710000
haiphong,3400,92,2,20,501500
haiphong,300,77,2,32,700000
haiphong,600,96,2,20,650000
haiphong,450,87,2,50,1250000
haiphong,2700,97,2,32,1850000
haiphong,2300,90,2,70,800000
haiphong,1300,83,2,25,541500
haiphong,2500,90,2,67,750000
haiphong,300,55,2,10,500000
haiphong,38500,83,2,25,760320
haiphong,2500,100,2,60,1020000
haiphong,1600,92,2,32,500000
haiphong,1500,94,2,33,567000
haiphong,1200,91,2,60,837900
haiphong,1800,86,2,45,2079000
haiphong,2200,93,2,25,1000000
haiphong,2600,91,2,35,650000
haiphong,3600,80,2,77,3670321
haiphong,4000,82,2,30,623333
haiphong,2800,72,2,29,950000
haiphong,4100,91,2,28,470000
haiphong,4000,100,2,30,990000
haiphong,4400,83,2,36,1140000
haiphong,600,96,2,20,650000
haiphong,2300,90,2,70,800000
haiphong,2200,84,2,28,500000
haiphong,350,93,2,32,1100250
haiphong,2200,70,2,35,600000
haiphong,3100,88,2,20,576000
hochiminh,4500,87,1,35,789000
hochiminh,1800,100,1,55,1700000
hochiminh,1000,50,1,30,920000
hochiminh,500,47,1,35,585000
hochiminh,6100,80,1,70,1290000
hochiminh,1000,97,1,80,3000000
hochiminh,7800,100,1,68,1150000
hochiminh,1800,80,1,25,952130
hochiminh,3800,100,1,87,1161709
hochiminh,4400,91,1,35,900000
hochiminh,3500,57,1,50,1260000
hochiminh,1000,68,1,30,900000
hochiminh,3700,91,1,53,2790000
hochiminh,3700,92,1,55,2970000
hochiminh,1800,88,1,70,1300000
hochiminh,1500,90,1,30,720000
hochiminh,1000,85,1,99,2150000
hochiminh,3700,85,1,55,1200000
hochiminh,1000,100,1,36,1260000
hochiminh,3900,67,1,55,1800000
hochiminh,3500,97,1,111,2780000
hochiminh,800,63,1,110,2500000
hochiminh,3700,97,1,53,2970000
hochiminh,900,37,1,55,1260000
hochiminh,5900,100,1,70,1390000
hochiminh,3700,96,1,55,2700000
hochiminh,3600,70,1,72,1292000
hochiminh,1000,97,1,60,2100000
hochiminh,5500,100,1,40,950000
hochiminh,3500,92,1,76,1292000
hochiminh,1200,83,1,30,585000
hochiminh,3500,100,1,40,1250000
hochiminh,3500,80,1,88,1600000
hochiminh,1800,10,1,45,1900000
hochiminh,1000,93,1,35,900000
hochiminh,3600,92,1,55,1364000
hochiminh,900,68,1,45,850000
hochiminh,1100,100,1,27,978924
hochiminh,6000,90,1,100,1750000
hochiminh,8900,30,1,80,576000
hochiminh,6000,83,1,89,3000000
hochiminh,5500,95,1,71,1350000
hochiminh,5000,73,1,77,1396500
hochiminh,800,87,1,58,1100000
hochiminh,7800,88,1,65,1000000
hochiminh,5200,75,1,36,750000
hochiminh,5200,100,1,36,784000
hochiminh,300,88,1,50,1016500
hochiminh,300,53,1,28,583920
hochiminh,1000,100,1,25,1078000
hochiminh,3500,94,1,54,2070000
hochiminh,5000,88,1,25,831600
hochiminh,10500,54,1,60,442320
hochiminh,4900,87,1,42,746100
hochiminh,5000,81,1,77,1375000
hochiminh,3700,96,1,55,2880000
hochiminh,900,82,1,30,1120000
hochiminh,2400,96,1,58,1650000
hochiminh,800,100,1,35,972000
hochiminh,3500,97,1,55,2070000
hochiminh,2400,95,1,25,520000
hochiminh,5900,100,1,75,1313000
hochiminh,3300,100,1,38,1300000
hochiminh,5800,90,1,55,1599000
hochiminh,5300,89,1,35,1895400
hochiminh,5600,95,1,60,1150000
hochiminh,3900,90,1,30,450000
hochiminh,1800,100,1,55,1690000
hochiminh,1000,99,1,32,950000
hochiminh,5200,100,1,36,784000
hochiminh,3700,90,1,22,585000
hochiminh,300,53,1,28,583920
hochiminh,3600,100,1,55,1741500
hochiminh,3700,90,1,22,585000
hochiminh,1000,99,1,32,950000
hochiminh,3500,97,2,55,2070000
hochiminh,3500,90,2,51,1190000
hochiminh,3500,90,2,60,1235000
hochiminh,3600,10,2,60,2400000
hochiminh,3500,100,2,49,1500000
hochiminh,5900,100,2,68,1313000
hochiminh,3600,70,2,109,3120000
hochiminh,1800,100,2,70,1600000
hochiminh,3800,45,2,82,1700000
hochiminh,4900,75,2,18,440000
hochiminh,1000,90,2,60,1995000
hochiminh,3500,43,2,56,1401250
hochiminh,800,90,2,86,1822500
hochiminh,5400,70,2,600,10000000
hochiminh,9200,70,2,20,299250
hochiminh,5700,50,2,70,1290000
hochiminh,1000,70,2,30,1080000
hochiminh,1000,100,2,60,1995000
hochiminh,3500,10,2,52,1260000
hochiminh,5200,90,2,40,790000
hochiminh,3500,90,2,56,1800000
hochiminh,5100,66,2,48,950000
hochiminh,5600,10,2,65,1282500
hochiminh,1000,80,2,31,1150000
hochiminh,5100,100,2,75,1700000
hochiminh,3600,10,2,53,960000
hochiminh,3700,93,2,96,2550000
hochiminh,2500,20,2,35,675000
hochiminh,4000,90,2,30,850000
hochiminh,1800,87,2,90,1600000
hochiminh,5900,98,2,50,1120000
hochiminh,3500,80,2,56,990000
hochiminh,1200,10,2,35,780000
hochiminh,1000,100,2,28,1800000
hochiminh,2600,83,2,33,696150
hochiminh,800,87,2,35,1170000
hochiminh,1800,10,2,82,1600000
hochiminh,3500,40,2,55,1800000
hochiminh,3200,77,2,120,2400000
hochiminh,3500,100,2,55,1260000
hochiminh,1000,60,2,30,830000
hochiminh,3500,43,2,72,1400000
hochiminh,1800,70,2,80,1600000
hochiminh,3500,10,2,54,950000
hochiminh,1500,74,2,29,997592
hochiminh,4900,88,2,80,1500000
hochiminh,3500,27,2,60,1350000
hochiminh,800,100,2,60,2090000
hochiminh,5600,95,2,60,1150000
hochiminh,3200,100,2,80,1450000
hochiminh,3500,100,2,54,1400000
hochiminh,2400,84,2,27,886455
hochiminh,5700,70,2,62,1071000
hochiminh,4500,87,2,30,789000
hochiminh,800,85,2,28,988000
hochiminh,5800,70,2,50,2940000
hochiminh,6100,80,2,70,1290000
hochiminh,1000,86,2,31,900000
hochiminh,3900,90,2,54,1300000
hochiminh,1100,81,2,28,850000
hochiminh,3800,100,2,87,1239157
hochiminh,800,63,2,110,2500000
hochiminh,300,88,2,50,914850
hochiminh,900,78,2,30,1040000
hochiminh,4400,91,2,35,1000000
hochiminh,5600,100,2,95,2025000
hochiminh,800,94,2,70,1800000
hochiminh,1700,97,2,50,2385000
hochiminh,300,77,2,50,1611900
hochiminh,5800,100,2,71,1500000
hochiminh,7800,100,2,68,1150000
hochiminh,800,96,2,88,2000000
hochiminh,1800,88,2,70,1300000
hochiminh,2300,90,2,15,580000
hochiminh,3800,75,2,82,1700000
hochiminh,1800,100,2,55,1700000
hochiminh,4900,98,2,70,2880000
hochiminh,1800,100,2,55,1690000
hochiminh,1500,90,2,30,720000
hochiminh,3600,70,2,72,1305600
hochiminh,900,68,2,45,850000
hochiminh,1000,100,2,36,1260000
hochiminh,3500,97,2,111,2780000
hochiminh,1000,93,2,35,900000
hochiminh,3700,85,2,55,1200000
hochiminh,1200,83,2,30,585000
hochiminh,8900,30,2,80,576000
hochiminh,5500,100,2,40,950000
hochiminh,900,37,2,55,1260000
hochiminh,5900,100,2,70,1390000
hochiminh,3700,96,2,55,2700000
hochiminh,1100,100,2,27,1009200
hochiminh,5500,95,2,71,1440000
hochiminh,6000,90,2,100,1750000
hochiminh,3700,92,2,55,2970000
hochiminh,800,87,2,58,1100000
hochiminh,3700,97,2,53,2800000
hochiminh,3700,97,2,53,2970000
hochiminh,5200,75,2,36,750000
hochiminh,3600,92,2,55,1364000
hochiminh,3500,85,2,120,2610000
hochiminh,300,53,2,28,583920
hochiminh,5000,73,2,77,1396500
hochiminh,1000,97,2,60,2100000
hochiminh,7800,88,2,65,1000000
hochiminh,2600,83,2,50,675000
hochiminh,3500,94,2,78,2700000
hochiminh,3500,73,2,30,450000
hochiminh,1800,10,2,45,1900000
hochiminh,10500,54,2,60,442320
hochiminh,6000,83,2,89,3000000
hochiminh,1000,100,2,25,1100000
hochiminh,3300,42,2,56,1600000
hochiminh,5200,100,2,36,882000
hochiminh,900,82,2,30,1120000
hochiminh,1800,100,2,88,1522800
hochiminh,800,100,2,35,1080000
hochiminh,5000,88,2,25,831600
hochiminh,14500,55,2,35,1700000
hochiminh,2800,86,2,20,747000
hochiminh,5000,81,2,77,1375000
hochiminh,1700,100,2,60,2000000
hochiminh,2400,95,2,25,520000
hochiminh,3700,96,2,55,2880000
hochiminh,5800,90,2,55,1599000
hochiminh,2400,96,2,58,1650000
hochiminh,3900,90,2,30,500000
hochiminh,5900,100,2,68,1313000
hochiminh,3500,97,2,55,2070000
hochiminh,5600,95,2,60,1150000
hochiminh,3700,90,2,22,650000
hochiminh,1000,99,2,32,950000
hochiminh,5200,100,2,36,882000
hochiminh,300,53,2,28,583920
hochiminh,3600,100,2,55,1741500
hochiminh,3700,90,2,22,650000
hochiminh,1000,99,2,32,950000
hanoi,4800,70,1,106,1673989
hanoi,7500,92,1,28,880000
hanoi,7400,100,1,70,1871500
hanoi,7800,95,1,30,700000
hanoi,6400,100,1,40,1000000
hanoi,46600,85,1,140,8500000
hanoi,3900,100,1,55,1804050
hanoi,7700,10,1,30,720000
hanoi,7800,90,1,30,688750
hanoi,450,60,1,30,684000
hanoi,1600,90,1,55,900000
hanoi,7700,90,1,30,648000
hanoi,10300,97,1,43,585000
hanoi,1000,100,1,70,1250000
hanoi,1700,80,1,40,729000
hanoi,2300,89,1,30,600000
hanoi,5300,100,1,40,332120
hanoi,7900,66,1,35,807500
hanoi,29000,80,1,170,6240000
hanoi,4700,90,1,60,1000000
hanoi,2600,100,1,40,540000
hanoi,800,82,1,120,2240280
hanoi,6300,50,1,46,900000
hanoi,7700,25,1,30,648000
hanoi,4400,65,1,20,360000
hanoi,6600,74,1,50,1520000
hanoi,3000,90,1,80,1980000
hanoi,6400,100,1,38,1092500
hanoi,1400,55,1,45,960000
hanoi,4800,100,1,55,1539000
hanoi,600,100,1,200,2596800
hanoi,2500,90,1,40,560000
hanoi,6400,92,1,50,1519050
hanoi,2400,97,1,35,630000
hanoi,4400,77,1,40,809100
hanoi,4100,87,1,65,759000
hanoi,7700,73,1,96,1100000
hanoi,5400,77,1,80,800000
hanoi,2800,95,1,30,570000
hanoi,2600,60,1,20,600000
hanoi,900,70,1,180,1120000
hanoi,4500,90,1,60,873000
hanoi,600,100,1,40,585000
hanoi,2200,75,1,40,414000
hanoi,4000,90,1,50,1392435
hanoi,4200,90,1,25,441600
hanoi,7700,90,1,30,495000
hanoi,6800,67,1,35,855000
hanoi,4600,92,1,20,460000
hanoi,8600,63,1,90,1395000
hanoi,3900,100,1,75,1440000
hanoi,4900,88,1,43,585000
hanoi,3800,87,1,55,1990000
hanoi,6500,95,1,50,1142964
hanoi,800,100,1,35,1300000
hanoi,600,80,1,20,900000
hanoi,4200,100,1,53,760500
hanoi,7500,100,1,50,1567500
hanoi,600,100,1,40,585000
hanoi,4100,87,1,65,759000
hanoi,2500,90,1,40,560000
hanoi,3900,78,1,75,1530000
hanoi,7500,100,1,50,1567500
hanoi,4700,90,2,115,2200000
hanoi,7700,100,2,26,900000
hanoi,4700,85,2,120,2450000
hanoi,7800,90,2,30,1134000
hanoi,10800,30,2,60,765000
hanoi,4600,90,2,105,1900000
hanoi,3800,70,2,55,1162800
hanoi,6500,100,2,30,891000
hanoi,3900,80,2,50,1800000
hanoi,8400,90,2,88,2375000
hanoi,10100,40,2,45,680000
hanoi,7600,90,2,66,1800000
hanoi,3900,100,2,55,1709050
hanoi,6400,60,2,95,1950000
hanoi,10200,93,2,74,959200
hanoi,2200,90,2,98,1274000
hanoi,4100,95,2,56,1080000
hanoi,6400,100,2,85,1352000
hanoi,1300,100,2,60,1944000
hanoi,9500,100,2,43,650000
